link,rank,section,run_time,pub_time,publication,headline
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 17:19:22,2026-03-11 16:46:22,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS",Sign up for Headlines US
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 17:19:22,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Cornyn reverses on filibuster stance to push Trump's SAVE Act in Senate
https://apple.news/AhrbSP5RIRhilqrigBeB0cg,3,top,2026-03-11 17:19:22,2026-03-11 16:45:31,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to Pursue Legal Guardianship of Homeless Vets
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,4,top,2026-03-11 17:19:22,2026-03-11 16:45:58,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,"The Trump DOJ is giving guns back to felons, including one alleged fake elector"
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,5,top,2026-03-11 17:19:22,2026-03-11 16:46:25,The Associated Press,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years
,plus,top,2026-03-11 17:19:22,2026-03-11 16:45:58,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",
,plus,top,2026-03-11 17:19:22,,BBC Science Focus Magazine,Six life-changing habits for lasting happiness,
,plus,top,2026-03-11 17:19:22,,National Geographic,"A one-minute workout can transform your body, Hannah Singleton",
,plus,top,2026-03-11 17:19:22,,TIME,The 12 symptoms endocrinologists say you should never ignore,
,plus,top,2026-03-11 17:19:22,,Apple News Plus,"Sports Illustrated, Why the Maxx Crosby mess could permanently change the NFL’s free-agency system",
,plus,top,2026-03-11 17:19:22,,The Athletic,How the best U.S. baseball team ever assembled humiliated itself in the World Baseball Classic,
